sourceTaxonName,targetTaxonName,interactionTypeName,sourceTaxonPhylumName,targetTaxonPhylumName
Rhinolophus bat coronavirus HKU2,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Swine acute diarrhea syndrome related coronavirus,Pipistrellus,hasHost,Pisuviricota,Chordata
Swine acute diarrhea syndrome related coronavirus,Pipistrellus,hasHost,Pisuviricota,Chordata
Swine acute diarrhea syndrome related coronavirus,Rhinolophus,hasHost,Pisuviricota,Chordata
Swine acute diarrhea syndrome related coronavirus,Rhinolophus,hasHost,Pisuviricota,Chordata
Swine acute diarrhea syndrome related coronavirus,Hipposideros,hasHost,Pisuviricota,Chordata
Swine acute diarrhea syndrome related coronavirus,Rhinolophus,hasHost,Pisuviricota,Chordata
Swine acute diarrhea syndrome related coronavirus,Rhinolophus,hasHost,Pisuviricota,Chordata
Swine acute diarrhea syndrome related coronavirus,Hipposideros,hasHost,Pisuviricota,Chordata
Swine acute diarrhea syndrome related coronavirus,Myotis,hasHost,Pisuviricota,Chordata
Swine acute diarrhea syndrome related coronavirus,Rhinolophus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Chiroptera,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus pusillus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus affinis,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Chiroptera,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Hipposideros armiger,hasHost,Pisuviricota,Chordata
Rhinolophus affinis bat coronavirus HKU2-related,Rhinolophus affinis,hasHost,Pisuviricota,Chordata
Rhabdovirus RV-DK2,Myotis daubentonii,hasHost,Negarnaviricota,Chordata
Rhabdovirus RV-DK1,Myotis daubentonii,hasHost,Negarnaviricota,Chordata
Rhabdovirus 29130,Chiroptera,hasHost,Negarnaviricota,Chordata
Rhabdovirus 27676,Eptesicus serotinus,hasHost,Negarnaviricota,Chordata
Rhabdovirus 26907,Myotis nattereri,hasHost,Negarnaviricota,Chordata
Rhabdovirus 26876,Eptesicus nilssonii,hasHost,Negarnaviricota,Chordata
Rhabdovirus 26873,Eptesicus nilssonii,hasHost,Negarnaviricota,Chordata
Rhabdovirus 26855,Myotis mystacinus,hasHost,Negarnaviricota,Chordata
Rhabdovirus 26530,Myotis nattereri,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Chiroptera,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Eumops glaucinus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Molossus molossus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Histiotus velatus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Lasionycteris noctivagans,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Chiroptera,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Chiroptera,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Chiroptera,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Chiroptera,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Molossus molossus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Molossus molossus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Molossus molossus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Eptesicus fuscus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Desmodus rotundus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Molossus molossus,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Myotis,hasHost,Negarnaviricota,Chordata
Rabies lyssavirus,Tadarida brasiliensis,hasHost,Negarnaviricota,Chordata
